transcript_id,role,section,lemma,upos,count
creativity_0001,user,basic_job_description,same,ADJ,1
creativity_0001,user,basic_job_description,see,VERB,1
creativity_0001,user,basic_job_description,so,ADV,2
creativity_0001,user,basic_job_description,studio,NOUN,1
creativity_0001,user,basic_job_description,the,DET,2
creativity_0001,user,basic_job_description,their,PRON,1
creativity_0001,user,basic_job_description,though,ADV,1
creativity_0001,user,basic_job_description,through,ADP,1
creativity_0001,user,basic_job_description,to,ADP,3
creativity_0001,user,basic_job_description,to,PART,2
creativity_0001,user,basic_job_description,towards,SCONJ,1
creativity_0001,user,basic_job_description,up,ADP,1
creativity_0001,user,basic_job_description,when,ADV,1
creativity_0001,user,basic_job_description,will,AUX,1
creativity_0001,user,basic_job_description,with,ADP,2
creativity_0001,user,basic_job_description,work,VERB,1
creativity_0001,user,changed_aspects,.,PUNCT,1
creativity_0001,user,changed_aspects,I,PRON,2
creativity_0001,user,changed_aspects,because,SCONJ,1
creativity_0001,user,changed_aspects,brainstorm,VERB,1
creativity_0001,user,changed_aspects,fast,ADJ,1
creativity_0001,user,changed_aspects,get,VERB,1
creativity_0001,user,changed_aspects,in,ADP,1
creativity_0001,user,changed_aspects,it,PRON,1
creativity_0001,user,changed_aspects,less,ADJ,1
creativity_0001,user,changed_aspects,or,CCONJ,1
creativity_0001,user,changed_aspects,probably,ADV,1
creativity_0001,user,changed_aspects,procrastinate,VERB,1
creativity_0001,user,changed_aspects,spend,VERB,1
creativity_0001,user,changed_aspects,start,VERB,1
creativity_0001,user,changed_aspects,that,DET,1
creativity_0001,user,changed_aspects,time,NOUN,1
creativity_0001,user,changed_aspects,way,NOUN,1
creativity_0001,user,concerns,"""",PUNCT,4
creativity_0001,user,concerns,(,PUNCT,1
creativity_0001,user,concerns,),PUNCT,1
creativity_0001,user,concerns,*,PUNCT,2
creativity_0001,user,concerns,",",PUNCT,6
creativity_0001,user,concerns,-AI,PROPN,1
creativity_0001,user,concerns,.,PUNCT,10
creativity_0001,user,concerns,/,SYM,1
creativity_0001,user,concerns,AI,NOUN,2
creativity_0001,user,concerns,AI,PROPN,1
creativity_0001,user,concerns,I,PRON,6
creativity_0001,user,concerns,Suno,PROPN,1
creativity_0001,user,concerns,a,DET,6
creativity_0001,user,concerns,actually,ADV,2
creativity_0001,user,concerns,again,ADV,2
creativity_0001,user,concerns,all,DET,1
creativity_0001,user,concerns,also,ADV,1
creativity_0001,user,concerns,and,CCONJ,3
creativity_0001,user,concerns,any,DET,1
creativity_0001,user,concerns,art,NOUN,1
creativity_0001,user,concerns,assist,VERB,1
creativity_0001,user,concerns,be,AUX,10
creativity_0001,user,concerns,beat,NOUN,1
creativity_0001,user,concerns,because,SCONJ,1
creativity_0001,user,concerns,become,VERB,1
creativity_0001,user,concerns,brainstorming,NOUN,1
creativity_0001,user,concerns,but,CCONJ,2
creativity_0001,user,concerns,by,ADP,1
creativity_0001,user,concerns,by,SCONJ,1
creativity_0001,user,concerns,client,NOUN,1
creativity_0001,user,concerns,company,NOUN,1
creativity_0001,user,concerns,concerning,ADJ,1
creativity_0001,user,concerns,creative,ADJ,3
creativity_0001,user,concerns,creativity,NOUN,1
creativity_0001,user,concerns,crucial,ADJ,1
creativity_0001,user,concerns,currently,ADV,1
creativity_0001,user,concerns,direction,NOUN,1
creativity_0001,user,concerns,do,AUX,1
creativity_0001,user,concerns,driving,NOUN,1
creativity_0001,user,concerns,element,NOUN,2
creativity_0001,user,concerns,even,ADV,1
creativity_0001,user,concerns,everyone,PRON,1
creativity_0001,user,concerns,find,VERB,1
creativity_0001,user,concerns,fix,NOUN,1
creativity_0001,user,concerns,flood,VERB,1
creativity_0001,user,concerns,for,ADP,2
creativity_0001,user,concerns,for,SCONJ,2
creativity_0001,user,concerns,force,NOUN,1
creativity_0001,user,concerns,from,ADP,1
creativity_0001,user,concerns,hand,NOUN,1
creativity_0001,user,concerns,have,AUX,2
creativity_0001,user,concerns,have,VERB,1
creativity_0001,user,concerns,he,PRON,2
creativity_0001,user,concerns,help,VERB,1
creativity_0001,user,concerns,human,ADJ,2
creativity_0001,user,concerns,in,ADP,2
creativity_0001,user,concerns,in,SCONJ,1
creativity_0001,user,concerns,instrument,NOUN,1
creativity_0001,user,concerns,interested,ADJ,2
creativity_0001,user,concerns,interesting,ADJ,1
creativity_0001,user,concerns,it,PRON,4
creativity_0001,user,concerns,like,VERB,1
creativity_0001,user,concerns,lot,NOUN,1
creativity_0001,user,concerns,make,VERB,3
creativity_0001,user,concerns,melody,NOUN,1
creativity_0001,user,concerns,mistake,NOUN,1
creativity_0001,user,concerns,more,ADV,1
creativity_0001,user,concerns,most,ADV,1
creativity_0001,user,concerns,mother,NOUN,1
creativity_0001,user,concerns,much,ADV,1
creativity_0001,user,concerns,music,NOUN,1
creativity_0001,user,concerns,musically,ADV,1
creativity_0001,user,concerns,new,ADJ,1
creativity_0001,user,concerns,not,PART,2
creativity_0001,user,concerns,of,ADP,4
creativity_0001,user,concerns,oil,NOUN,1
