group,category,pos_group,lemma,token_count,cc_total,c_total,lemma_in_cluster,p_lemma_given_cluster_cat,p_lemma_given_cluster,distinctiveness_cluster
Content writing,AUTHORSHIP,NOUN,couple,10,1808,5205,10,0.005257886830245368,0.001946607341490545,0.9936411702838601
Content writing,AUTHORSHIP,NOUN,description,3,1808,5205,3,0.0017526289434151227,0.0006488691138301817,0.9936411702838601
Content writing,AUTHORSHIP,NOUN,effect,1,1808,5205,1,0.0007511266900350526,0.00027808676307007786,0.9936411702838601
Content writing,AUTHORSHIP,NOUN,element,2,1808,5205,2,0.0012518778167250877,0.0004634779384501298,0.9936411702838601
Content writing,AUTHORSHIP,VERB,add,9,1808,5205,9,0.004757135703555333,0.0017612161661104931,0.9936411702838601
Content writing,AUTHORSHIP,VERB,answer,8,1808,5205,8,0.004256384576865298,0.0015758249907304412,0.9936411702838601
Content writing,AUTHORSHIP,VERB,assist,4,1808,5205,4,0.002253380070105158,0.0008342602892102336,0.9936411702838601
Content writing,AUTHORSHIP,VERB,be,596,1808,5205,596,0.29869804707060593,0.11058583611420096,0.9936411702838601
Content writing,AUTHORSHIP,VERB,bring,2,1808,5205,2,0.0012518778167250877,0.0004634779384501298,0.9936411702838601
Content writing,AUTHORSHIP,VERB,build,7,1808,5205,7,0.003755633450175263,0.0013904338153503894,0.9936411702838601
Content writing,AUTHORSHIP,VERB,change,18,1808,5205,18,0.009263895843765649,0.0034297367445309604,0.9936411702838601
Content writing,AUTHORSHIP,VERB,combine,1,1808,5205,1,0.0007511266900350526,0.00027808676307007786,0.9936411702838601
Content writing,AUTHORSHIP,VERB,consume,1,1808,5205,1,0.0007511266900350526,0.00027808676307007786,0.9936411702838601
Content writing,AUTHORSHIP,VERB,craft,2,1808,5205,2,0.0012518778167250877,0.0004634779384501298,0.9936411702838601
